Document_title,Stop number,BOL_Number,BOL_Key,Origin_Address,O_A_Key,Origin_Zip,Origin_City,Origin_State,Origin_Country,Weight_label,Weight,Dest_Address,D_A_Key,Dest_Zip,Dest_City,Dest_State,Dest_Country,B_T_Key,Bill_To_Address,Bill_To_Zip,Bill_To_City,Bill_To_State,Bill_To_Country,Pickup_Date,Delivery_Date
1385699,3,757165,TRIPID,"MEIJER DC 872 - FROZEN 8900 GREEN BAY ROAD PLEASANT PRAIRIE, WI 53158",DROP,53158,PLEASANT PRAIRIE,WI,USA,Weight,25026,"TARGET FDC - 3880 - FRESH 42 COMMERCE PARKWAY WEST JEFFERSON, OH 43162",DROP,43162,WEST JEFFERSON,OH,USA,DROP,"TARGET FDC - 3880 - FRESH 42 COMMERCE PARKWAY WEST JEFFERSON, OH 43162",43162,WEST JEFFERSON,OH,USA,6/1/2023,6/2/2023
1385721,0,758117,TRIPID,"JENNIE-O WILLMAR 1530 30TH ST SW WILLMAR, MN 56201",PICKUP,56201,WILLMAR,MN,USA,Weight,41429,"ICECAP 1720 N 16TH ST COUNCIL BLUFFS, IA 51501",DROP,51501,COUNCIL BLUFFS,IA,USA,DROP,"ICECAP 1720 N 16TH ST COUNCIL BLUFFS, IA 51501",51501,COUNCIL BLUFFS,IA,USA,5/31/2023,6/1/2023
1385722,0,758118,TRIPID,"JENNIE-O WILLMAR 1530 30TH ST SW WILLMAR, MN 56201",PICKUP,56201,WILLMAR,MN,USA,Weight,41429,"ICECAP 1720 N 16TH ST COUNCIL BLUFFS, IA 51501",DROP,51501,COUNCIL BLUFFS,IA,USA,DROP,"ICECAP 1720 N 16TH ST COUNCIL BLUFFS, IA 51501",51501,COUNCIL BLUFFS,IA,USA,5/31/2023,6/1/2023
1385723,0,758119,TRIPID,"JENNIE-O WILLMAR 1530 30TH ST SW WILLMAR, MN 56201",PICKUP,56201,WILLMAR,MN,USA,Weight,41429,"ICECAP 1720 N 16TH ST COUNCIL BLUFFS, IA 51501",DROP,51501,COUNCIL BLUFFS,IA,USA,DROP,"ICECAP 1720 N 16TH ST COUNCIL BLUFFS, IA 51501",51501,COUNCIL BLUFFS,IA,USA,5/31/2023,6/1/2023
1385782 -006046,0,6046,PO,"6073 LINEAGE LOGISTICS - BOSTON MRKT FRZ BOSTON MARKET FROZEN  29678 NETWORK PLACE CHICAGO, IL 606731296",Vendor,60673,CHICAGO,IL,USA,Weight,2928,"Kuna Meat Company, Inc. Receiving Dock 701 Pinecrest Drive East Peoria, IL 61611",Ship To,61611,EAST PEORIA,IL,USA,,"701 Pinecrest Drive East Peoria, IL 61611",61611,EAST PEORIA,IL,USA,6/6/2023,6/6/2023
1385782,0,6047,PO,"6073 LINEAGE LOGISTICS - BOSTON MRKT FRZ BOSTON MARKET FROZEN  29678 NETWORK PLACE CHICAGO, IL 606731296",Vendor,60673,CHICAGO,IL,USA,Weight,1598,"Kuna Meat Company, Inc. Receiving Dock 701 Pinecrest Drive East Peoria, IL 61611",Ship To,61611,EAST PEORIA,IL,USA,,"701 Pinecrest Drive East Peoria, IL 61611",61611,EAST PEORIA,IL,USA,6/6/2023,6/6/2023
1385998,0,6055,PO,"6074 PARK 100 FOODS, INC. PO BOX 850137 MINNEAPOLIS, MN 554850137",Vendor,55485,MINNEAPOLIS,MN,USA,Weight,30258,"Kuna Meat Company, Inc. Receiving Dock 701 Pinecrest Drive East Peoria, IL 61611",Ship To,61611,EAST PEORIA,IL,USA,,"701 Pinecrest Drive East Peoria, IL 61611",61611,EAST PEORIA,IL,USA,,6/20/2023
1386364,0,S00487313,ORD,"* ALLIANCE GROUND INTERNATIONAL LLC HBC1, 1717 BUSSE RD ELK GROVE VILLAGE IL 600075615",PICKUP LOCATION,60007,ELK GROVE VILLAGE,IL,USA,Weight,1113,GHSP INC 1250 S BEECHTREE ST TAX ID: 38-347291600 CTC: MICHAEL J. ROBBINS JR. GRAND HAVEN MI 49417 UNITED STATES,FOR DELIVERY TO,49417,GRAND HAVEN,MI,USA,ISSUED AS AGENT ONL,RIM LOGISTICS LTD. 200 GARY AVENUE ROSELLE IL 60172 US,60172,ROSELLE,IL,USA,5/28/2023,5/30/2023
1386892,0,6078,PO,"CASE FARMS CHICKEN 385 PILCH ROAD P.O. BOX 925 TROUTMAN, NC 28166",Vendor:,28166,TROUTMAN,NC,USA,Weight,12154,"Kuna Meat Company, Inc. Receiving Dock 701 Pinecrest Drive East Peoria, IL 61611",Ship To,61611,EAST PEORIA,IL,USA,,"701 Pinecrest Drive East Peoria, IL 61611",61611,EAST PEORIA,IL,USA,,6/6/2023
1387305,0,2,PO,"In-N-Out Burger Chino Warehouse, 16000 Quality Wy, Chino, CA 91708",Pick-up Location,91708,CHINO,CA,USA,,,"In-N-Out Burger Lancaster Warehouse, 3900 Corporate Drive, Lancaster TX, 75134",Destination,75134,LANCASTER,TX,USA,,,,,,,6/6/2023,6/8/2023
1387804,0,76354,PO,"South Western Ave. Torrance, CA 90501",P/UP at,90501,TORRANCE,CA,USA,Total wt.,40344,"3201 East Division St Springfield, MO 65802",Destination,65802,SPRINGFIELD,MO,USA,Destination,"3201 East Division St Springfield, MO 65802",65802,SPRINGFIELD,MO,USA,6/2/2023,6/5/2023
1389116,0,RIM23010110,BOL,"MALCO PRODUCTS INC 361 FAIRVIEW AVENUE Barberton, OH 44203",From,44203,BARBERTON,OH,USA,Total Weight,42728,"Allports Logisticcs 1319 N Broad St Hillside, NJ 07205",To,7205,HILLSIDE,NJ,USA,Bill,"RIM Logistics 200 Gary Avenue Roselle, IL 60172",60172,ROSELLE,IL,USA,6/2/2023,6/2/2023
1389125,0,RIM23010112,BOL,"MALCO PRODUCTS INC 361 FAIRVIEW AVENUE Barberton, OH 44203",From,44203,BARBERTON,OH,USA,Total Weight,42728,"Allports Logisticcs 1319 N Broad St Hillside, NJ 07205",To,7205,HILLSIDE,NJ,USA,Bill,"RIM Logistics 200 Gary Avenue Roselle, IL 60172",60172,ROSELLE,IL,USA,6/2/2023,6/2/2023
1389331,0,762283,TRIPID,"JENNIE-O MELROSE 1129 MAIN ST E MELROSE, MN 56352",PICKUP,56352,MELROSE,MN,USA,Weight,39605,"WM DC 6074 1729 STATE ROAD 8 AUBURN, IN 46706",DROP,46706,AUBURN,IN,USA,DROP,"WM DC 6074 1729 STATE ROAD 8 AUBURN, IN 46706",46706,AUBURN,IN,USA,6/2/2023,6/4/2023
1390496,0,RIM23010181,BOL,"A-Ventures, Inc 4000 Metzger Rd Fort Pierce, FL 34947",Origin/Shipper,34937,FORT PIERCE,FL,USA,Total Weight,7000,"American Home Design 685 Branch Dr Alpharetta, GA 30004 United States",Destination/Consignee,30004,ALPHARETTA,GA,USA,Bill,"RIM Logistics 200 Gary Avenue Roselle, IL 60172",60172,ROSELLE,IL,USA,6/2/2023,6/2/2023
1390656,0,RIM23010165,BOL,"LW12 LLC 49 Murray Hill Dr Nanuet, NY 10954",Origin/Shipper,10954,NANUET,NY,USA,Total Weight,680,"Pop Up Grocer 205 Bleecker St New York, NY 10012 United States",Destination/Consignee,10012,NEW YORK CITY,NY,USA,Bill,"RIM Logistics 200 Gary Avenue Roselle, IL 60172",60172,ROSELLE,IL,USA,6/3/2023,6/3/2023
1390663,0,RIM23010164,BOL,"LW12 LLC 49 Murray Hill Dr Nanuet, NY 10954",Origin/Shipper,10954,NANUET,NY,USA,Total Weight,680,"Pop Up Grocer 205 Bleecker St New York, NY 10012 United States",Destination/Consignee,10012,NEW YORK CITY,NY,USA,Bill,"RIM Logistics 200 Gary Avenue Roselle, IL 60172",60172,ROSELLE,IL,USA,6/3/2023,6/3/2023
1391783,0,6130,PO,"3811 CASE FARMS CHICKEN P.O. BOX 925 TROUTMAN, NC 28166",Vendor,28166,TROUTMAN,NC,USA,Weight,17931,"Kuna Meat Company, Inc. Receiving Dock 701 Pinecrest Drive East Peoria, IL 61611",Ship To,61611,EAST PEORIA,IL,USA,,"701 Pinecrest Drive East Peoria, IL 61611",61611,EAST PEORIA,IL,USA,,6/13/2023
1392102,0,764649,TRIPID,CLOVERLEAF SX 2900 MURRAY ST SIOUX CITY IA 51111,PICKUP,51111,SIOUX CITY,IA,USA,WGHT,41400,HFC - LLOYDS BBQ PLANT 1455 MENDOTA HEIGHTS RD MENDOTA HEIGHTS MN 55120-1002,DROP,55120,MENDOTA HEIGHTS,MN,USA,DROP,HFC - LLOYDS BBQ PLANT 1455 MENDOTA HEIGHTS RD MENDOTA HEIGHTS MN 55120-1002,55120,MENDOTA HEIGHTS,MN,USA,6/2/2023,6/2/2023
1392618,0,1200476563,SD,"4900 ESTE AVENUE CINCINNATI, OH 45232-1419",At,45232,CINCINNATI,OH,USA,Weight,41808,C/O Commonwealth 500 Murray Road ST BERNARD OH 45217,Cosigned To:,45217,ST BERNARD,OH,USA,Mail Prepaid Bills To:,"Emery Oleochemicals, LLC 4900 Este Avenue Cincinnati, Ohio 45232 USA",45232,CINCINNATI,OH,USA,6/9/2023,6/9/2023
1392619,0,1200476564,SD,"4900 ESTE AVENUE CINCINNATI, OH 45232-1419",At,45232,CINCINNATI,OH,USA,Weight,41808,C/O Commonwealth 500 Murray Road ST BERNARD OH 45217,Cosigned To:,45217,ST BERNARD,OH,USA,Mail Prepaid Bills To:,"Emery Oleochemicals, LLC 4900 Este Avenue Cincinnati, Ohio 45232 USA",45232,CINCINNATI,OH,USA,6/14/2023,6/14/2023
1392631,0,6144,PO,"6136 ADVANCED FOOD TECHNOLOGIES (A Division of Roskam Baking) PO BOX 200514 DALLAS, TX 753200514",Vendor,75320,DALLAS,TX,USA,Weight,1925,"Kuna Meat Company, Inc. Receiving Dock 701 Pinecrest Drive East Peoria, IL 61611",Ship To,61611,EAST PEORIA,IL,USA,,"701 Pinecrest Drive East Peoria, IL 61611",61611,EAST PEORIA,IL,USA,,6/15/2023
1393031,0,LP0049,DR,"Lineage Logistics PFS, LLC 10060 Porter Road La Porte, TX 77571",COLLECT FROM,77571,LA PORTE,TX,USA,,4187,"Alphia - ANI 124 West 29th Street Ogden, UT 84401",DELIVER TO,84401,OGDEN,UT,USA,To,Alphia - ANI 124 West 29th Street Ogden UT 84401,84401,OGDEN,UT,USA,6/14/2023,6/14/2023
1393330,0,1200475992,BOL,"400 Murray Road, St Bernard",Addr1,45217,CINCINNATI,OH,USA,TOTAL SHIPMENT NET WEIGHT,40200,3660 HWY 411 NE,Addr1,30184,WHITE,GA,USA,,,,,,,6/23/2023,6/26/2023
1393552,0,,,,,,,,,,,,,,,,,,,,,,,,
1393633 BOL ,1,366946,LOADNUM,"Century Van Lines PH: 913-651-3600 FAX: 913-651-3614 211 Marion Street, Leavenworth, KS 66048 ",PICK,66048,LEAVENWORTH,KS,USA,GROSS,11310,"Coleman American Moving Svc - Omaha PH: 402-733-2560 FAX: 402-733-5040 4880 "" F "" Street, Omaha, NE 68117",PICK,68117,OMAHA,NE,USA,PICK DROP,"Pasha Freight c/o Proactive PH: 832-261-4941 EMAIL: PFT_Houston@pashanet.com  5803 Old Highway 146, Seabrook, TX 77586 ",77586,SEABROOK,TX,USA,6/5/2023,6/5/2023
1393633 BOL ,2,366946,LOADNUM,"Coleman American Moving Svc - Omaha PH: 402-733-2560 FAX: 402-733-5040 4880 "" F "" Street, Omaha, NE 68117",PICK,68117,OMAHA,NE,USA,GROSS,11310,"Pasha Freight c/o Proactive PH: 832-261-4941 EMAIL: PFT_Houston@pashanet.com 5803 Old Highway 146, Seabrook, TX 77586",DROP,77586,SEABROOK,TX,USA,PICK DROP,"Pasha Freight c/o Proactive PH: 832-261-4941 EMAIL: PFT_Houston@pashanet.com  5803 Old Highway 146, Seabrook, TX 77586 ",77586,SEABROOK,TX,USA,6/5/2023,6/5/2023
1393778,0,AKE3832,DR,"Konoike - E Street 901 East E Street Wilmington, CA 90744",COLLECT FROM,90744,WILMINGTON,CA,USA,Total Gross Weight (Lbs),42950,"BHJ USA, MARS Vernon 5100 S Boyle Avenue VERNON, CA 90058",DELIVER TO,90058,VERNON,CA,USA,CONSIGNEE,"BHJ USA, MARS Vernon 5100 S Boyle Avenue VERNON, CA 90058",90058,VERNON,CA,USA,6/8/2023,6/8/2023
1393782,0,AKE3833,DR,"Konoike - E Street 901 East E Street Wilmington, CA 90744",COLLECT FROM,90744,WILMINGTON,CA,USA,Total Gross Weight (Lbs),42432,"BHJ USA, MARS Vernon 5100 S Boyle Avenue VERNON, CA 90058",DELIVER TO,90058,VERNON,CA,USA,CONSIGNEE,"BHJ USA, MARS Vernon 5100 S Boyle Avenue VERNON, CA 90058",90058,VERNON,CA,USA,6/9/2023,6/9/2023
1394303-006170,0,6170,PO,"6071 LINEAGE LOGISTICS BOSTOM MARKETS 29678 NETWORK PLACE CHICAGO, IL 606731296",Vendor,60673,CHICAGO,IL,USA,Weight,1415,"Kuna Meat Company, Inc. Receiving Dock 701 Pinecrest Drive East Peoria, IL 61611",Ship To,61611,EAST PEORIA,IL,USA,,"701 Pinecrest Drive East Peoria, IL 61611",61611,EAST PEORIA,IL,USA,,6/14/2023
1394303-006171,0,6171,PO,"6071 LINEAGE LOGISTICS - BOSTON MRKT FRZ BOSTON MARKET FROZEN 29678 NETWORK PLACE CHICAGO, IL 606731296",,60673,CHICAGO,IL,USA,Weight,1584,"Kuna Meat Company, Inc. Receiving Dock 701 Pinecrest Drive East Peoria, IL 61611",Ship To,61611,EAST PEORIA,IL,USA,,"701 Pinecrest Drive East Peoria, IL 61611",61611,EAST PEORIA,IL,USA,,6/14/2023
1394585,0,RIM23010335,BOL,"BNA CONSTRUCTORS CANADA GP 35 PROSPECT AVE GATE 2 Windsor, ON N9C3G3",From,N9C 3G3,WINSOR,ON,CAN,Total Weight,200,"DYWIDAG-Systems 320 Marmon Dr Bolingbrook, IL 60440 United States",To,60440,BOLINGBROOK,IL,USA,Bill,"RIM Logistics 200 Gary Avenue Roselle, IL 60172",60172,ROSELLE,IL,USA,6/7/2023,6/7/2023
1394830 bol,0,136822,JOBNUM,"TOWNE MILLWORK, 2690 PROGRESSIVE WAY, Abbotsford BC V2T 6H9",1st PICK,V2T 6H9,ABBOTSFORD,BC,CAN,,,"ISEC Inc. 198 McCallister St, San Francisco CA 94102 ",1st Stop,94102,SAN FRANCISCO,CA,USA,BILL TO,"ISEC, 6000 GREENWOOD PLAZA BLVD, STE 200, GREENWOOD VILLAGE, CO 80111",80111,GREENWOOD VILLAGE,CO,USA,6/9/2023,6/12/2023
1394956,0,260052,PO,,,,BATAVIA,OH,USA,,24967,,,,ATLANTA,GA,USA,,,,,,,6/22/2023,6/23/2023
1394983,0,285765,PO,PARK 100 FOODS INC PARK 100 FOODS INC MINNEAPOLIS MN 55485-0137,NAME,55485,MINNEAPOLIS,MN,USA,WEIGHT,35232,MERCHANDISE WHSE 725 WEST PIONEER TRACE PENDLETON IN 46064,,46064,PENDLETON,IN,USA,,"BASSHAM FOODS 5409 HEMPHILL FORT WORTH,TX. 76115",76115,FORT WORTH,TX,USA,6/26/2023,6/28/2023
1396689 BOl,0,813,PO,"AIA Countertops- 145 HM Richards Way, Guntown, MS 38849",1st Pick up,38829,GUNTOWN,MS,USA,,,"ISEC- 13520 Yosemite Street, Thornton, CO 80602",1st stop,80602,THORTON,CO,USA,Bill to,"ISEC, 6000 GREENWOOD PLAZA BLVD, STE 200, GREENWOOD VILLAGE, CO 80111",80111,GREENWOOD VILLAGE,CO,USA,6/9/2023,6/12/2023
1400097,0,POC22101492-3,PO,"Konoike - E Street 901 East E Street Wilmington, CA 90744",COLLECT FROM,90733,WILMINGTON,CA,USA,Total Gross Weight (Lbs),41433,"Alphia - ANI 124 West 29th Street Ogden, UT 84401",DELIVER TO,88401,OGDEN,UT,USA,Name and address of consignee,Meateor US LLC 901 East E Street Wilmington 90744 CA United States,90744,WILMINGTON,CA,USA,6/15/2023,6/15/2023
1400105,0,POC22101392-3,PO,"Konoike - E Street 901 East E Street Wilmington, CA 90744",COLLECT FROM,90733,WILMINGTON,CA,USA,Total Gross Weight (Lbs),41433,"Alphia - ANI 124 West 29th Street Ogden, UT 84401",DELIVER TO,88401,OGDEN,UT,USA,Name and address of consignee,Meateor US LLC 901 East E Street Wilmington 90744 CA United States,90744,WILMINGTON,CA,USA,6/15/2023,6/15/2023
1401627,0,6251,PO,"3811 CASE FARMS CHICKEN 385 PILCH ROAD P. O. BOX 925 TROUTMAN, NC 28166",Vendor,28166,TROUTMAN,NC,USA,Weight,13789,"Kuna Meat Company, Inc. Receiving Dock 701 Pinecrest Drive East Peoria, IL 61611",Ship To,61611,EAST PEORIA,IL,USA,,"701 Pinecrest Drive East Peoria, IL 61611",61611,EAST PEORIA,IL,USA,6/20/2023,6/20/2023
1405401,0,POC22101492-4,PO,"Konoike - E Street 901 East E Street Wilmington, CA 90744",COLLECT FROM,90744,WILMINGTON,CA,USA,Total Gross Weight (Lbs),42597,"Alphia - ANI 124 West 29th Street Ogden, UT 84401",DELIVER TO,84401,OGDEN,UT,USA,Name and address of consignee,Meateor US LLC 901 East E Street Wilmington 90744 CA United States,90744,WILMINGTON,CA,USA,6/21/2023,6/21/2023
1405492,0,73,PO,"In-N-Out Burger Las Vegas Warehouse 6450 Montessouri St, Las Vegas, NV 89113",Pick-up Location,89113,LAS VEGAS,NV,USA,,,"In-N-Out Burger Utah Warehouse 12382 South Gateway Park PL, Draper, UT 84020",Destination,84020,DRAPER,UT,USA,,,,,,,6/22/2023,6/23/2023
1406835,0,464950,PO,"2050 S. Tubeway, Commerce, CA 90040",Pick-up Location,90040,COMMERCE,CA,USA,,,"In-N-Out Burger Lancaster Warehouse, 3900 Corporate Drive, Lancaster TX, 75134",Destination,75134,LANCASTER,TX,USA,,,,,,,6/30/2023,7/1/2023
1406836,0,464951,PO,"2050 S. Tubeway, Commerce, CA 90040",Pick-up Location,90040,COMMERCE,CA,USA,,,"In-N-Out Burger Lancaster Warehouse, 3900 Corporate Drive, Lancaster TX, 75134",Destination,75134,LANCASTER,TX,USA,,,,,,,7/1/2023,7/2/2023
1406839,0,464952,PO,"2050 S. Tubeway, Commerce, CA 90040",Pick-up Location,90040,COMMERCE,CA,USA,,,"In-N-Out Burger Lancaster Warehouse, 3900 Corporate Drive, Lancaster TX, 75134",Destination,75134,LANCASTER,TX,USA,,,,,,,7/2/2023,7/3/2023
1407989,0,1006753501,PO,"Lineage Logistics Holdings, LLC 10585 Red Bluff Road Pasadena, TX 77507",COLLECT FROM,10585,PASADENA,TX,USA,Total Gross Weight (Kgs),19795,"The Iams Company C/o Mars Petcare 1055 West Highway 34 Aurora, NE 68818",DELIVER TO,68818,AURORA,NE,USA,CONSIGNEE,"The Iams Company C/o Mars Petcare 1055 West Highway 34 Aurora,NE 68818,USA",68818,AURORA,NE,USA,7/7/2023,7/8/2023
1407995,0,1006753500,PO,"Lineage Logistics Holdings, LLC 10585 Red Bluff Road Pasadena, TX 77507",COLLECT FROM,10585,PASADENA,TX,USA,Total Gross Weight (Kgs),19640,"The Iams Company C/o Mars Petcare 1055 West Highway 34 Aurora, NE 68818",DELIVER TO,68818,AURORA,NE,USA,CONSIGNEE,"The Iams Company C/o Mars Petcare 1055 West Highway 34 Aurora,NE 68818,USA",68818,AURORA,NE,USA,6/30/2023,7/1/2023
1407996,0,1006772625,PO,"Lineage Logistics Holdings, LLC 10585 Red Bluff Road Pasadena, TX 77507",COLLECT FROM,10585,PASADENA,TX,USA,Total Gross Weight (Kgs),19743,"The Iams Company C/o Mars Petcare 1055 West Highway 34 Aurora, NE 68818",DELIVER TO,68818,AURORA,NE,USA,CONSIGNEE,"The Iams Company C/o Mars Petcare 1055 West Highway 34 Aurora,NE 68818,USA",68818,AURORA,NE,USA,6/26/2023,6/27/2023
1408377,0,RIM23010886,BOL,"COMPUCOM 1225 FOREST PARKWAY SUITE 500 Paulsboro, NJ 08066",From,8066,PAULSBORO,NJ,USA,Weight,4725,"NEC CORPORATION OF AMERICA 1213 N. 28TH AVE. Dakkas, TX 75261 United States",To,75261,DALLAS,TX,USA,Bill,"RIM Logistics 200 Gary Avenue Roselle, IL 60172",60172,ROSELLE,IL,USA,,
1408403,0,161637826,LOADID,"41846 FWS TRANSPORTATION 224 WEST MAIN ST HAW RIVER, NC 27258 US",Pick-up Location,27258,HAW RIVER,NC,USA,Weight,41848,"40706-2 BAUCOMS NURSERY COMPANY 3200 FLOWES STORE ROAD E CONCORD, NC 28025 US",Drop,28025,CONCORD,NC,USA,,,,,,,6/22/2023,6/23/2023
1408486,0,RIM23010880,BOL,"RIM Logistics-adm 1750 Central Ave. Door B, Docks 37-42 Roselle, IL 60172",From,60172,ROSELLE,IL,USA,Total Weight,392,"Trump National Golf Club Charlotte 120 Trump Square Mooresville, NC 28117 United States",To,28117,MOORESVILLE,NC,USA,Bill,"RIM Logistics 200 Gary Avenue Roselle, IL 60172",60172,ROSELLE,IL,USA,,
1415744,0,AKE3846,DR,"Konoike - E Street 901 East E Street Wilmington, CA 90744",COLLECT FROM,90744,WILMINGTON,CA,USA,Total Gross Weight (Lbs),42608,"Nestle Flagstaff 4700E Nestle Purina Avenue Flagstaff, AZ 86004",DELIVER TO,86004,FLAGSTAFF,AZ,USA,CONSIGNEE,"Nestle Flagstaff 4700E Nestle Purina Avenue Flagstaff, AZ 86004",86004,FLAGSTAFF,AZ,USA,7/4/2023,7/5/2023
25735776bol,0,1741794,SO,"663 DOWD AVE ELIZABETH, NJ 07201",Address,7201,ELIZABETH,NJ,USA,Total Weight,1170,"340 WEST ROSEVILLE ROAD LANCASTER, PA 17601",Address,17601,LANCASTER,PA,USA,Bill To,"ALLSTATES WORLDCARGO, INC. 135 WEST CENTRAL BLVD STE 840",32801,ORLANDO,FL,USA,6/7/2023,6/9/2023
25741051bol,0,1742134,SO,"663 DOWD AVE ELIZABETH, NJ 07201",Address,7201,ELIZABETH,NJ,USA,Total Weight,6480,"411 YERKES RD KING OF PRUSSIA, PA 19406",Address,19406,KING OF PRUSSIA,PA,USA,Bill To,"ALLSTATES WORLDCARGO, INC. 135 WEST CENTRAL BLVD STE 840",32801,ORLANDO,FL,USA,6/7/2023,6/9/2023
Allstates Patterson Project -1380836 ,0,68750,EWR,35-57 KENTUCKY AVENUE,Street Address,7503,PATERSON,NJ,USA,Total Act. WT,1000,3200 S Las Vegas Blvd,Street Address,89109,LAS VEGAS,NV,USA,Street Address,275 W 39TH STREET 3RD FLR,10018,NEW YORK,NY,USA,5/28/2023,6/1/2023
Allstates Patterson Project -1380844,0,68753,EWR,35-57 KENTUCKY AVENUE,Street Address,7503,PATERSON,NJ,USA,Total Act. WT,1000,14060 Riverside Dr. S,Street Address,91423,SHERMAN OAKS,CA,USA,Street Address,275 W 39TH STREET 3RD FLR,10018,NEW YORK,NY,USA,5/28/2023,6/1/2023
Allstates Patterson Project -1380840,0,68757,EWR,35-57 KENTUCKY AVENUE,Street Address,7503,PATERSON,NJ,USA,Total Act. WT,500,2600 Post Oak Blvd,Street Address,77056,HOUSTON,TX,USA,Street Address,275 W 39TH STREET 3RD FLR,10018,NEW YORK,NY,USA,5/28/2023,6/1/2023
Allstates Patterson Project -1383082 ,0,68758,EWR,35-57 KENTUCKY AVENUE,Street Address,7503,PATERSON,NJ,USA,Total Act. WT,1000,2223 N Westshore Blvd,Street Address,33607,TAMPA,FL,USA,Street Address,275 W 39TH STREET 3RD FLR,10018,NEW YORK,NY,USA,5/30/2023,6/1/2023
Allstates Patterson Project -1383083,0,68760,EWR,35-57 KENTUCKY AVENUE,Street Address,7503,PATERSON,NJ,USA,Total Act. WT,500,3440 Peachtree Rd,Street Address,30326,ATLANTA,GA,USA,Street Address,275 W 39TH STREET 3RD FLR,10018,NEW YORK,NY,USA,5/28/2023,6/1/2023
american trim 1406086,0,60973,LOADNUM,,,,BATAVIA,OH,USA,,24967.92,,,,ATLANTA,GA,USA,,,,,,,6/22/2023,6/23/2023
asd,0,260052,PO,,,,BATAVIA,OH,USA,Weight,24967.92,,,,ATLANTA,GA,USA,,,,,,,6/22/2023,6/23/2023
asd1,0,1383068,PRO,,,,,,,,,,,,,,,,,,,,,6/12/2023,6/13/2023
BaseTender-2145876,0,2145876,REF,"Amalgamated Sugar-Nyssa 105 East Main Street Nyssa, OR 97913",Origin,97913,NYSSA,OR,USA,Weight,43775,"BAKEMARK USA-TEMPE 2625 S Roosevelt #101 Tempe, AZ 85282",Destination,85282,TEMPE,AZ,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/23/2023,6/26/2023
BaseTender-2152813,0,2152813,REF,"Amalgamated Sugar-Nyssa 105 East Main Street Nyssa, OR 97913",Origin,97913,NYSSA,OR,USA,Weight,41200,"DAWN FOOD PRODUCTS-SLC 1136 S3600 W Ste 600 Salt Lake City, UT 84104",Destination,84103,SALT LAKE CITY,UT,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/5/2023,6/6/2023
BaseTender-2158635,0,2158635,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43197,"KAGOME INC-LOS BANOS 333 Johnson Rd Los Banos, CA 93635",Destination,93635,LOS BANOS,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/11/2023,6/12/2023
BaseTender-2158636,0,2158636,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43197,"KAGOME INC-LOS BANOS 333 Johnson Rd Los Banos, CA 93635",Destination,93635,LOS BANOS,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/12/2023,6/13/2023
BaseTender-2158637,0,2158637,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43197,"KAGOME INC-LOS BANOS 333 Johnson Rd Los Banos, CA 93635",Destination,93635,LOS BANOS,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/13/2023,6/14/2023
BaseTender-2158638,0,2158638,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43197,"KAGOME INC-LOS BANOS 333 Johnson Rd Los Banos, CA 93635",Destination,93635,LOS BANOS,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/14/2023,6/15/2023
BaseTender-2158639,0,2158639,REF,"Amalgamated Sugar-Twin Falls 2320 Orchard Drive East Twin Falls, ID 83301",Origin,83301,TWIN FALLS,ID,USA,Weight,43197,"KAGOME INC-LOS BANOS 333 Johnson Rd Los Banos, CA 93635",Destination,93635,LOS BANOS,CA,USA,Bill To,"National Sugar Marketing Cooperative, Inc. 100 Galleria Pkwy SE Suite 1400 Atlanta, GA 30339",30339,ATLANTA,GA,USA,6/15/2023,6/16/2023
